medcodeid,term,condition
459309011,Arthropathy due to type 2 diabetes mellitus (disorder),Q code group Type 2 diabetes 
459310018,Arthropathy due to type 2 diabetes mellitus (disorder),Q code group Type 2 diabetes 
459311019,Arthropathy due to type 2 diabetes mellitus (disorder),Q code group Type 2 diabetes 
8.4491E+13,Arthropathy due to type 2 diabetes mellitus (disorder),Q code group Type 2 diabetes 
8.4861E+13,Arthropathy due to type 2 diabetes mellitus (disorder),Q code group Type 2 diabetes 
7.30675E+15,Brittle type II diabetes mellitus (finding),Q code group Type 2 diabetes 
7.30676E+15,Brittle type II diabetes mellitus (finding),Q code group Type 2 diabetes 
7.30677E+15,Brittle type II diabetes mellitus (finding),Q code group Type 2 diabetes 
7.30678E+15,Brittle type II diabetes mellitus (finding),Q code group Type 2 diabetes 
1.23321E+16,Cataract of eye due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
1.23321E+16,Cataract of eye due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
1.27024E+16,Cataract of eye due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
2.81161E+14,Cataract of eye due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
6.9598E+15,Cataract of eye due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
6.95981E+15,Cataract of eye due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
8.4501E+13,Cataract of eye due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
8.4871E+13,Cataract of eye due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
9.14301E+14,Cataract of eye due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
9.14311E+14,Cataract of eye due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
8.12039E+15,Cheiroarthropathy due to diabetes mellitus type 2 (disorder),Q code group Type 2 diabetes 
292488013,Coma due to diabetes mellitus (disorder),Q code group Type 2 diabetes 
6.96425E+15,Coma due to malnutrition-related diabetes mellitus (disorder),Q code group Type 2 diabetes 
7.19541E+14,Coma due to malnutrition-related diabetes mellitus (disorder),Q code group Type 2 diabetes 
1.3811E+13,Complication due to diabetes mellitus (disorder),Q code group Type 2 diabetes 
292617015,Complication due to diabetes mellitus (disorder),Q code group Type 2 diabetes 
292622015,Complication due to diabetes mellitus (disorder),Q code group Type 2 diabetes 
292626017,Complication due to diabetes mellitus (disorder),Q code group Type 2 diabetes 
3.71286E+15,Complication due to diabetes mellitus (disorder),Q code group Type 2 diabetes 
1495356017,Congenital total lipodystrophy (disorder),Q code group Type 2 diabetes 
3029639016,Congenital total lipodystrophy (disorder),Q code group Type 2 diabetes 
3029742016,Congenital total lipodystrophy (disorder),Q code group Type 2 diabetes 
3029802015,Congenital total lipodystrophy (disorder),Q code group Type 2 diabetes 
